Files already downloaded and verified
Files already downloaded and verified
[(0, 25), (1, 25), (2, 25), (3, 25)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time= 11.2s | Train: skip eval | Valid: time=  6.3s loss=2.734, TAw acc= 22.2% | *
| Epoch   2, time=  9.4s | Train: skip eval | Valid: time=  6.2s loss=2.382, TAw acc= 29.2% | *
| Epoch   3, time=  9.4s | Train: skip eval | Valid: time=  6.4s loss=2.222, TAw acc= 33.8% | *
| Epoch   4, time=  9.4s | Train: skip eval | Valid: time=  6.3s loss=2.165, TAw acc= 36.0% | *
| Epoch   5, time=  9.5s | Train: skip eval | Valid: time=  6.3s loss=2.183, TAw acc= 36.2% |
| Epoch   6, time=  9.5s | Train: skip eval | Valid: time=  6.4s loss=1.901, TAw acc= 43.7% | *
| Epoch   7, time=  9.4s | Train: skip eval | Valid: time=  6.3s loss=1.946, TAw acc= 42.1% |
| Epoch   8, time=  9.6s | Train: skip eval | Valid: time=  6.5s loss=1.819, TAw acc= 44.3% | *
| Epoch   9, time=  9.4s | Train: skip eval | Valid: time=  6.3s loss=1.818, TAw acc= 43.8% | *
| Epoch  10, time=  9.5s | Train: skip eval | Valid: time=  6.3s loss=1.762, TAw acc= 46.2% | *
| Epoch  11, time=  9.4s | Train: skip eval | Valid: time=  6.4s loss=1.728, TAw acc= 47.0% | *
| Epoch  12, time=  9.4s | Train: skip eval | Valid: time=  6.3s loss=1.691, TAw acc= 48.4% | *
| Epoch  13, time=  9.5s | Train: skip eval | Valid: time=  6.3s loss=1.665, TAw acc= 47.8% | *
| Epoch  14, time=  9.4s | Train: skip eval | Valid: time=  6.3s loss=1.668, TAw acc= 50.6% |
| Epoch  15, time=  9.3s | Train: skip eval | Valid: time=  6.4s loss=1.803, TAw acc= 44.8% |
| Epoch  16, time=  9.4s | Train: skip eval | Valid: time=  6.3s loss=1.616, TAw acc= 49.7% | *
| Epoch  17, time=  9.5s | Train: skip eval | Valid: time=  6.3s loss=1.586, TAw acc= 50.8% | *
| Epoch  18, time=  9.5s | Train: skip eval | Valid: time=  6.3s loss=1.660, TAw acc= 49.5% |
| Epoch  19, time=  9.5s | Train: skip eval | Valid: time=  6.3s loss=1.537, TAw acc= 52.4% | *
| Epoch  20, time=  9.5s | Train: skip eval | Valid: time=  6.4s loss=1.536, TAw acc= 53.4% | *
