Files already downloaded and verified
Files already downloaded and verified
[(0, 25), (1, 25), (2, 25), (3, 25)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time= 14.4s | Train: skip eval | Valid: time=  6.3s loss=3.137, TAw acc= 12.6% | *
| Epoch   2, time= 12.3s | Train: skip eval | Valid: time=  6.3s loss=2.794, TAw acc= 19.1% | *
| Epoch   3, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=2.660, TAw acc= 21.4% | *
| Epoch   4, time= 12.3s | Train: skip eval | Valid: time=  6.4s loss=2.470, TAw acc= 25.4% | *
| Epoch   5, time= 12.4s | Train: skip eval | Valid: time=  6.2s loss=2.292, TAw acc= 30.2% | *
| Epoch   6, time= 12.4s | Train: skip eval | Valid: time=  6.4s loss=2.385, TAw acc= 29.8% |
| Epoch   7, time= 12.4s | Train: skip eval | Valid: time=  6.4s loss=2.300, TAw acc= 30.7% |
| Epoch   8, time= 12.5s | Train: skip eval | Valid: time=  6.3s loss=2.246, TAw acc= 29.8% | *
| Epoch   9, time= 12.4s | Train: skip eval | Valid: time=  6.4s loss=2.110, TAw acc= 34.2% | *
| Epoch  10, time= 12.4s | Train: skip eval | Valid: time=  6.4s loss=2.087, TAw acc= 36.6% | *
| Epoch  11, time= 12.4s | Train: skip eval | Valid: time=  6.2s loss=2.064, TAw acc= 37.2% | *
| Epoch  12, time= 12.3s | Train: skip eval | Valid: time=  6.3s loss=2.060, TAw acc= 35.4% | *
| Epoch  13, time= 12.4s | Train: skip eval | Valid: time=  6.4s loss=2.012, TAw acc= 38.0% | *
| Epoch  14, time= 13.2s | Train: skip eval | Valid: time=  7.0s loss=2.044, TAw acc= 37.8% |
| Epoch  15, time= 12.9s | Train: skip eval | Valid: time=  6.5s loss=2.060, TAw acc= 36.8% |
| Epoch  16, time= 13.0s | Train: skip eval | Valid: time=  6.4s loss=1.962, TAw acc= 41.0% | *
| Epoch  17, time= 12.5s | Train: skip eval | Valid: time=  6.4s loss=1.940, TAw acc= 39.8% | *
| Epoch  18, time= 12.4s | Train: skip eval | Valid: time=  6.4s loss=1.931, TAw acc= 41.0% | *
| Epoch  19, time= 12.4s | Train: skip eval | Valid: time=  6.4s loss=1.892, TAw acc= 41.8% | *
| Epoch  20, time= 12.3s | Train: skip eval | Valid: time=  6.3s loss=1.871, TAw acc= 44.9% | *
| Epoch  21, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.848, TAw acc= 44.0% | *
| Epoch  22, time= 12.3s | Train: skip eval | Valid: time=  6.4s loss=1.886, TAw acc= 43.8% |
| Epoch  23, time= 12.4s | Train: skip eval | Valid: time=  6.2s loss=1.832, TAw acc= 43.4% | *
| Epoch  24, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.833, TAw acc= 44.2% |
| Epoch  25, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.876, TAw acc= 43.5% |
| Epoch  26, time= 12.3s | Train: skip eval | Valid: time=  6.3s loss=1.821, TAw acc= 45.8% | *
| Epoch  27, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.785, TAw acc= 45.9% | *
| Epoch  28, time= 12.3s | Train: skip eval | Valid: time=  6.3s loss=1.787, TAw acc= 45.4% |
| Epoch  29, time= 12.4s | Train: skip eval | Valid: time=  6.3s loss=1.736, TAw acc= 46.7% | *
| Epoch  30, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.763, TAw acc= 45.0% |
| Epoch  31, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.801, TAw acc= 44.6% |
| Epoch  32, time= 12.4s | Train: skip eval | Valid: time=  6.2s loss=1.802, TAw acc= 44.7% |
| Epoch  33, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.753, TAw acc= 45.7% |
| Epoch  34, time= 12.4s | Train: skip eval | Valid: time=  6.2s loss=1.719, TAw acc= 46.4% | *
| Epoch  35, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.719, TAw acc= 48.1% | *
| Epoch  36, time= 12.4s | Train: skip eval | Valid: time=  6.4s loss=1.751, TAw acc= 47.0% |
| Epoch  37, time= 12.4s | Train: skip eval | Valid: time=  6.3s loss=1.668, TAw acc= 48.8% | *
| Epoch  38, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.718, TAw acc= 46.4% |
| Epoch  39, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.655, TAw acc= 48.9% | *
| Epoch  40, time= 12.4s | Train: skip eval | Valid: time=  6.2s loss=1.700, TAw acc= 48.6% |
| Epoch  41, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.652, TAw acc= 48.2% | *
| Epoch  42, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.671, TAw acc= 48.6% |
| Epoch  43, time= 12.3s | Train: skip eval | Valid: time=  6.3s loss=1.739, TAw acc= 47.0% |
| Epoch  44, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.827, TAw acc= 43.8% |
| Epoch  45, time= 12.3s | Train: skip eval | Valid: time=  6.5s loss=1.610, TAw acc= 50.5% | *
| Epoch  46, time= 14.9s | Train: skip eval | Valid: time=  6.2s loss=1.608, TAw acc= 50.8% | *
| Epoch  47, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.628, TAw acc= 50.7% |
| Epoch  48, time= 12.3s | Train: skip eval | Valid: time=  6.3s loss=1.661, TAw acc= 48.5% |
| Epoch  49, time= 12.4s | Train: skip eval | Valid: time=  6.2s loss=1.558, TAw acc= 52.4% | *
| Epoch  50, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.676, TAw acc= 47.7% |
| Epoch  51, time= 12.4s | Train: skip eval | Valid: time=  6.2s loss=1.621, TAw acc= 51.0% |
| Epoch  52, time= 12.4s | Train: skip eval | Valid: time=  6.3s loss=1.633, TAw acc= 50.4% |
| Epoch  53, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.638, TAw acc= 47.5% |
| Epoch  54, time= 12.3s | Train: skip eval | Valid: time=  6.3s loss=1.631, TAw acc= 50.2% | lr=3.3e-02
| Epoch  55, time= 12.3s | Train: skip eval | Valid: time=  6.3s loss=1.534, TAw acc= 51.9% | *
| Epoch  56, time= 12.3s | Train: skip eval | Valid: time=  6.3s loss=1.516, TAw acc= 53.4% | *
| Epoch  57, time= 12.3s | Train: skip eval | Valid: time=  6.3s loss=1.524, TAw acc= 52.3% |
| Epoch  58, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.523, TAw acc= 53.2% |
| Epoch  59, time= 12.4s | Train: skip eval | Valid: time=  6.2s loss=1.496, TAw acc= 53.6% | *
| Epoch  60, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.513, TAw acc= 54.2% |
| Epoch  61, time= 12.4s | Train: skip eval | Valid: time=  6.3s loss=1.521, TAw acc= 53.5% |
| Epoch  62, time= 12.3s | Train: skip eval | Valid: time=  6.4s loss=1.506, TAw acc= 54.1% |
| Epoch  63, time= 12.4s | Train: skip eval | Valid: time=  6.2s loss=1.539, TAw acc= 51.9% |
| Epoch  64, time= 12.4s | Train: skip eval | Valid: time=  6.3s loss=1.570, TAw acc= 51.4% | lr=1.1e-02
| Epoch  65, time= 12.3s | Train: skip eval | Valid: time=  6.3s loss=1.479, TAw acc= 54.4% | *
| Epoch  66, time= 12.4s | Train: skip eval | Valid: time=  6.2s loss=1.491, TAw acc= 53.8% |
| Epoch  67, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.469, TAw acc= 54.5% | *
| Epoch  68, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.475, TAw acc= 54.6% |
| Epoch  69, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.495, TAw acc= 53.4% |
| Epoch  70, time= 12.3s | Train: skip eval | Valid: time=  6.3s loss=1.484, TAw acc= 54.3% |
| Epoch  71, time= 12.4s | Train: skip eval | Valid: time=  6.2s loss=1.494, TAw acc= 53.7% |
| Epoch  72, time= 12.4s | Train: skip eval | Valid: time=  6.3s loss=1.490, TAw acc= 53.8% | lr=3.7e-03
| Epoch  73, time= 12.4s | Train: skip eval | Valid: time=  6.3s loss=1.489, TAw acc= 54.4% |
| Epoch  74, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.476, TAw acc= 54.2% |
| Epoch  75, time= 12.4s | Train: skip eval | Valid: time=  6.2s loss=1.475, TAw acc= 54.5% |
| Epoch  76, time= 12.4s | Train: skip eval | Valid: time=  6.3s loss=1.479, TAw acc= 53.8% |
| Epoch  77, time= 12.3s | Train: skip eval | Valid: time=  6.3s loss=1.482, TAw acc= 54.1% | lr=1.2e-03
| Epoch  78, time= 12.3s | Train: skip eval | Valid: time=  6.4s loss=1.489, TAw acc= 53.8% |
| Epoch  79, time= 12.4s | Train: skip eval | Valid: time=  6.2s loss=1.475, TAw acc= 54.5% |
| Epoch  80, time= 12.4s | Train: skip eval | Valid: time=  6.3s loss=1.480, TAw acc= 53.9% |
| Epoch  81, time= 12.4s | Train: skip eval | Valid: time=  6.3s loss=1.463, TAw acc= 54.3% | *
| Epoch  82, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.476, TAw acc= 53.8% |
| Epoch  83, time= 12.4s | Train: skip eval | Valid: time=  6.3s loss=1.479, TAw acc= 54.3% |
| Epoch  84, time= 12.4s | Train: skip eval | Valid: time=  6.2s loss=1.484, TAw acc= 53.8% |
| Epoch  85, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.472, TAw acc= 54.0% |
| Epoch  86, time= 12.4s | Train: skip eval | Valid: time=  6.2s loss=1.476, TAw acc= 54.2% | lr=4.1e-04
| Epoch  87, time= 12.3s | Train: skip eval | Valid: time=  6.3s loss=1.466, TAw acc= 54.4% |
| Epoch  88, time= 12.4s | Train: skip eval | Valid: time=  6.2s loss=1.474, TAw acc= 54.2% |
| Epoch  89, time= 12.4s | Train: skip eval | Valid: time=  6.2s loss=1.464, TAw acc= 55.0% |
| Epoch  90, time= 12.4s | Train: skip eval | Valid: time=  6.2s loss=1.476, TAw acc= 53.9% |
| Epoch  91, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.472, TAw acc= 54.7% | lr=1.4e-04
| Epoch  92, time= 12.3s | Train: skip eval | Valid: time=  6.3s loss=1.469, TAw acc= 54.2% |
| Epoch  93, time= 12.3s | Train: skip eval | Valid: time=  6.3s loss=1.463, TAw acc= 54.8% |
| Epoch  94, time= 12.3s | Train: skip eval | Valid: time=  6.3s loss=1.466, TAw acc= 55.0% |
| Epoch  95, time= 12.3s | Train: skip eval | Valid: time=  6.2s loss=1.478, TAw acc= 54.7% |
| Epoch  96, time= 12.3s | Train: skip eval | Valid: time=  6.3s loss=1.476, TAw acc= 54.4% | lr=4.6e-05
| Selected 2500 train exemplars, time=  0.2s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=1.518 | TAw acc= 54.1%, forg=  0.0%| TAg acc= 54.1%, forg=  0.0% <<<
Save at C:\Users\Erik\Desktop\hopp\cifar100_icarl
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time= 17.2s | Train: skip eval | Valid: time=  6.6s loss=15.757, TAw acc= 26.1% | *
