Files already downloaded and verified
Files already downloaded and verified
[(0, 25), (1, 25), (2, 25), (3, 25)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=2.612, TAw acc= 24.4% | *
| Epoch   2, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=2.237, TAw acc= 33.3% | *
| Epoch   3, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=2.351, TAw acc= 32.9% |
| Epoch   4, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=2.124, TAw acc= 34.9% | *
| Epoch   5, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=2.057, TAw acc= 36.8% | *
| Epoch   6, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.962, TAw acc= 40.6% | *
| Epoch   7, time= 10.0s | Train: skip eval | Valid: time=  6.3s loss=1.875, TAw acc= 43.0% | *
| Epoch   8, time= 10.0s | Train: skip eval | Valid: time=  6.3s loss=1.789, TAw acc= 44.7% | *
| Epoch   9, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.718, TAw acc= 46.8% | *
| Epoch  10, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.703, TAw acc= 48.3% | *
| Epoch  11, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.736, TAw acc= 46.6% |
| Epoch  12, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.739, TAw acc= 47.2% |
| Epoch  13, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.703, TAw acc= 47.9% |
| Epoch  14, time= 10.1s | Train: skip eval | Valid: time=  6.4s loss=1.766, TAw acc= 46.4% |
| Epoch  15, time= 10.0s | Train: skip eval | Valid: time=  6.3s loss=1.684, TAw acc= 49.1% | *
| Epoch  16, time=  9.9s | Train: skip eval | Valid: time=  6.2s loss=1.704, TAw acc= 50.0% |
| Epoch  17, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.622, TAw acc= 49.2% | *
| Epoch  18, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.612, TAw acc= 51.0% | *
| Epoch  19, time=  9.9s | Train: skip eval | Valid: time=  6.4s loss=1.594, TAw acc= 51.8% | *
| Epoch  20, time= 10.1s | Train: skip eval | Valid: time=  6.3s loss=1.561, TAw acc= 53.4% | *
| Epoch  21, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.749, TAw acc= 49.0% |
| Epoch  22, time= 10.2s | Train: skip eval | Valid: time=  6.8s loss=1.701, TAw acc= 49.9% |
| Epoch  23, time= 10.9s | Train: skip eval | Valid: time=  7.1s loss=1.563, TAw acc= 51.0% |
| Epoch  24, time= 10.6s | Train: skip eval | Valid: time=  6.6s loss=1.519, TAw acc= 54.6% | *
| Epoch  25, time= 10.8s | Train: skip eval | Valid: time=  7.4s loss=1.630, TAw acc= 50.8% |
| Epoch  26, time= 10.4s | Train: skip eval | Valid: time=  6.7s loss=1.602, TAw acc= 52.4% |
| Epoch  27, time= 10.7s | Train: skip eval | Valid: time=  6.7s loss=1.509, TAw acc= 53.8% | *
| Epoch  28, time= 10.1s | Train: skip eval | Valid: time=  6.6s loss=1.504, TAw acc= 55.6% | *
| Epoch  29, time= 10.1s | Train: skip eval | Valid: time=  6.3s loss=1.556, TAw acc= 52.9% |
| Epoch  30, time= 10.1s | Train: skip eval | Valid: time=  6.4s loss=1.494, TAw acc= 54.2% | *
| Epoch  31, time= 10.0s | Train: skip eval | Valid: time=  6.5s loss=1.445, TAw acc= 57.2% | *
| Epoch  32, time= 10.1s | Train: skip eval | Valid: time=  6.4s loss=1.460, TAw acc= 54.4% |
| Epoch  33, time=  9.9s | Train: skip eval | Valid: time=  6.5s loss=1.385, TAw acc= 57.7% | *
| Epoch  34, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.571, TAw acc= 54.2% |
| Epoch  35, time= 10.0s | Train: skip eval | Valid: time=  6.3s loss=1.512, TAw acc= 55.0% |
| Epoch  36, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.593, TAw acc= 54.9% |
| Epoch  37, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.509, TAw acc= 57.3% |
| Epoch  38, time= 10.0s | Train: skip eval | Valid: time=  6.3s loss=1.580, TAw acc= 55.4% | lr=3.3e-02
| Epoch  39, time= 10.0s | Train: skip eval | Valid: time=  6.2s loss=1.372, TAw acc= 59.6% | *
| Epoch  40, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.368, TAw acc= 59.4% | *
| Epoch  41, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.364, TAw acc= 60.0% | *
| Epoch  42, time=  9.9s | Train: skip eval | Valid: time=  6.2s loss=1.428, TAw acc= 59.6% |
| Epoch  43, time=  9.9s | Train: skip eval | Valid: time=  6.6s loss=1.387, TAw acc= 59.5% |
| Epoch  44, time= 10.4s | Train: skip eval | Valid: time=  6.6s loss=1.373, TAw acc= 59.5% |
| Epoch  45, time= 10.4s | Train: skip eval | Valid: time=  6.6s loss=1.432, TAw acc= 58.2% |
| Epoch  46, time= 10.4s | Train: skip eval | Valid: time=  6.6s loss=1.412, TAw acc= 60.2% | lr=1.1e-02
| Epoch  47, time= 10.4s | Train: skip eval | Valid: time=  6.5s loss=1.358, TAw acc= 61.3% | *
| Epoch  48, time= 10.0s | Train: skip eval | Valid: time=  6.3s loss=1.328, TAw acc= 61.6% | *
| Epoch  49, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.339, TAw acc= 61.0% |
| Epoch  50, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.336, TAw acc= 60.8% |
| Epoch  51, time=  9.9s | Train: skip eval | Valid: time=  6.2s loss=1.358, TAw acc= 61.3% |
| Epoch  52, time=  9.8s | Train: skip eval | Valid: time=  6.2s loss=1.334, TAw acc= 61.9% |
| Epoch  53, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.353, TAw acc= 60.0% | lr=3.7e-03
| Epoch  54, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.337, TAw acc= 61.4% |
| Epoch  55, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.317, TAw acc= 61.8% | *
| Epoch  56, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.357, TAw acc= 61.2% |
| Epoch  57, time=  9.9s | Train: skip eval | Valid: time=  6.2s loss=1.334, TAw acc= 61.4% |
| Epoch  58, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.332, TAw acc= 61.4% |
| Epoch  59, time=  9.8s | Train: skip eval | Valid: time=  6.3s loss=1.312, TAw acc= 61.5% | *
| Epoch  60, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.338, TAw acc= 60.8% |
| Epoch  61, time=  9.8s | Train: skip eval | Valid: time=  6.3s loss=1.344, TAw acc= 60.9% |
| Epoch  62, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.317, TAw acc= 61.9% |
| Epoch  63, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.323, TAw acc= 61.4% |
| Epoch  64, time=  9.9s | Train: skip eval | Valid: time=  6.1s loss=1.349, TAw acc= 61.5% | lr=1.2e-03
| Epoch  65, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.341, TAw acc= 61.5% |
| Epoch  66, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.339, TAw acc= 61.4% |
| Epoch  67, time=  9.8s | Train: skip eval | Valid: time=  6.2s loss=1.333, TAw acc= 61.5% |
| Epoch  68, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.314, TAw acc= 61.5% |
| Epoch  69, time=  9.8s | Train: skip eval | Valid: time=  6.2s loss=1.341, TAw acc= 61.4% | lr=4.1e-04
| Epoch  70, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.339, TAw acc= 61.5% |
| Epoch  71, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.348, TAw acc= 60.6% |
| Epoch  72, time=  9.7s | Train: skip eval | Valid: time=  6.3s loss=1.339, TAw acc= 61.2% |
| Epoch  73, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.346, TAw acc= 61.5% |
| Epoch  74, time= 10.0s | Train: skip eval | Valid: time=  6.3s loss=1.356, TAw acc= 61.0% | lr=1.4e-04
| Epoch  75, time=  9.9s | Train: skip eval | Valid: time=  6.2s loss=1.332, TAw acc= 61.8% |
| Epoch  76, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.336, TAw acc= 62.0% |
| Epoch  77, time=  9.9s | Train: skip eval | Valid: time=  6.1s loss=1.332, TAw acc= 61.3% |
| Epoch  78, time=  9.8s | Train: skip eval | Valid: time=  6.3s loss=1.338, TAw acc= 61.9% |
| Epoch  79, time=  9.9s | Train: skip eval | Valid: time=  6.3s loss=1.327, TAw acc= 61.2% | lr=4.6e-05
| Selected 2500 train exemplars, time=  0.2s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=1.319 | TAw acc= 59.2%, forg=  0.0%| TAg acc= 59.2%, forg=  0.0% <<<
Save at C:\Users\Erik\Desktop\hopp\cifar100_icarl
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=12.332, TAw acc= 45.9% | *
| Epoch   2, time= 13.1s | Train: skip eval | Valid: time=  6.4s loss=12.213, TAw acc= 48.8% | *
| Epoch   3, time= 13.1s | Train: skip eval | Valid: time=  6.5s loss=13.039, TAw acc= 44.6% |
| Epoch   4, time= 13.1s | Train: skip eval | Valid: time=  6.5s loss=12.271, TAw acc= 51.7% |
| Epoch   5, time= 13.1s | Train: skip eval | Valid: time=  6.5s loss=11.710, TAw acc= 52.6% | *
| Epoch   6, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=11.797, TAw acc= 54.8% |
| Epoch   7, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=11.871, TAw acc= 54.2% |
| Epoch   8, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=11.794, TAw acc= 56.0% |
| Epoch   9, time= 13.1s | Train: skip eval | Valid: time=  6.4s loss=11.600, TAw acc= 56.3% | *
| Epoch  10, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=11.678, TAw acc= 58.3% |
| Epoch  11, time= 13.1s | Train: skip eval | Valid: time=  6.5s loss=11.755, TAw acc= 54.9% |
| Epoch  12, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=11.731, TAw acc= 56.3% |
| Epoch  13, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=11.568, TAw acc= 58.1% | *
| Epoch  14, time= 13.2s | Train: skip eval | Valid: time=  6.5s loss=11.520, TAw acc= 57.2% | *
| Epoch  15, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=11.820, TAw acc= 57.1% |
| Epoch  16, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=11.574, TAw acc= 59.4% |
| Epoch  17, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=11.740, TAw acc= 54.7% |
| Epoch  18, time= 13.2s | Train: skip eval | Valid: time=  6.5s loss=11.499, TAw acc= 60.5% | *
| Epoch  19, time= 13.1s | Train: skip eval | Valid: time=  6.4s loss=11.561, TAw acc= 59.7% |
