Files already downloaded and verified
Files already downloaded and verified
[(0, 20), (1, 20), (2, 20), (3, 20), (4, 20)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time= 13.8s | Train: skip eval | Valid: time=  6.2s loss=2.179, TAw acc= 30.8% | *
| Epoch   2, time=  9.0s | Train: skip eval | Valid: time=  6.0s loss=2.197, TAw acc= 30.9% |
| Epoch   3, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=2.040, TAw acc= 34.9% | *
| Epoch   4, time=  9.0s | Train: skip eval | Valid: time=  6.0s loss=1.877, TAw acc= 40.5% | *
| Epoch   5, time=  9.0s | Train: skip eval | Valid: time=  6.0s loss=1.848, TAw acc= 41.1% | *
| Epoch   6, time=  9.0s | Train: skip eval | Valid: time=  6.0s loss=2.083, TAw acc= 37.1% |
| Epoch   7, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.969, TAw acc= 44.6% |
| Epoch   8, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=2.158, TAw acc= 43.1% |
| Epoch   9, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.784, TAw acc= 45.7% | *
| Epoch  10, time=  9.0s | Train: skip eval | Valid: time=  6.0s loss=2.089, TAw acc= 41.8% |
| Epoch  11, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.619, TAw acc= 47.4% | *
| Epoch  12, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.687, TAw acc= 47.2% |
| Epoch  13, time=  9.0s | Train: skip eval | Valid: time=  6.1s loss=1.725, TAw acc= 46.0% |
| Epoch  14, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.879, TAw acc= 46.2% |
| Epoch  15, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.716, TAw acc= 49.5% |
| Epoch  16, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.626, TAw acc= 49.2% | lr=3.3e-02
| Epoch  17, time=  9.1s | Train: skip eval | Valid: time=  6.1s loss=1.694, TAw acc= 48.9% |
| Epoch  18, time=  9.0s | Train: skip eval | Valid: time=  6.1s loss=1.493, TAw acc= 52.7% | *
| Epoch  19, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.486, TAw acc= 53.4% | *
| Epoch  20, time=  9.0s | Train: skip eval | Valid: time=  6.3s loss=1.494, TAw acc= 53.0% |
| Epoch  21, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.507, TAw acc= 53.6% |
| Epoch  22, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.443, TAw acc= 55.0% | *
| Epoch  23, time=  9.1s | Train: skip eval | Valid: time=  6.2s loss=1.472, TAw acc= 53.3% |
| Epoch  24, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.483, TAw acc= 53.6% |
| Epoch  25, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.479, TAw acc= 54.6% |
| Epoch  26, time=  9.1s | Train: skip eval | Valid: time=  6.2s loss=1.404, TAw acc= 56.3% | *
| Epoch  27, time=  9.0s | Train: skip eval | Valid: time=  6.1s loss=1.458, TAw acc= 54.9% |
| Epoch  28, time=  9.0s | Train: skip eval | Valid: time=  6.1s loss=1.494, TAw acc= 53.9% |
| Epoch  29, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.491, TAw acc= 54.7% |
| Epoch  30, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.441, TAw acc= 56.2% |
| Epoch  31, time=  9.1s | Train: skip eval | Valid: time=  6.1s loss=1.419, TAw acc= 55.9% | lr=1.1e-02
| Epoch  32, time=  9.0s | Train: skip eval | Valid: time=  6.0s loss=1.354, TAw acc= 56.7% | *
| Epoch  33, time=  9.0s | Train: skip eval | Valid: time=  6.1s loss=1.367, TAw acc= 56.3% |
| Epoch  34, time=  9.0s | Train: skip eval | Valid: time=  6.1s loss=1.365, TAw acc= 57.0% |
| Epoch  35, time=  9.1s | Train: skip eval | Valid: time=  6.2s loss=1.360, TAw acc= 58.1% |
| Epoch  36, time=  9.0s | Train: skip eval | Valid: time=  6.1s loss=1.377, TAw acc= 57.0% |
| Epoch  37, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.369, TAw acc= 56.1% | lr=3.7e-03
| Epoch  38, time=  9.0s | Train: skip eval | Valid: time=  6.0s loss=1.361, TAw acc= 57.9% |
| Epoch  39, time=  8.9s | Train: skip eval | Valid: time=  6.2s loss=1.349, TAw acc= 57.3% | *
| Epoch  40, time=  9.2s | Train: skip eval | Valid: time=  6.2s loss=1.358, TAw acc= 56.6% |
| Epoch  41, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.357, TAw acc= 56.8% |
| Epoch  42, time=  9.0s | Train: skip eval | Valid: time=  6.0s loss=1.351, TAw acc= 58.0% |
| Epoch  43, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.347, TAw acc= 56.5% | *
| Epoch  44, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.353, TAw acc= 57.0% |
| Epoch  45, time=  9.0s | Train: skip eval | Valid: time=  6.1s loss=1.347, TAw acc= 56.4% | *
| Epoch  46, time=  9.0s | Train: skip eval | Valid: time=  6.0s loss=1.396, TAw acc= 56.0% |
| Epoch  47, time=  9.0s | Train: skip eval | Valid: time=  6.0s loss=1.343, TAw acc= 57.0% | *
| Epoch  48, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.355, TAw acc= 57.7% |
| Epoch  49, time=  9.0s | Train: skip eval | Valid: time=  6.1s loss=1.358, TAw acc= 56.4% |
| Epoch  50, time=  9.0s | Train: skip eval | Valid: time=  6.1s loss=1.354, TAw acc= 58.0% |
| Epoch  51, time=  9.0s | Train: skip eval | Valid: time=  6.0s loss=1.362, TAw acc= 57.8% |
| Epoch  52, time=  9.0s | Train: skip eval | Valid: time=  6.0s loss=1.365, TAw acc= 58.3% | lr=1.2e-03
| Epoch  53, time=  9.0s | Train: skip eval | Valid: time=  6.1s loss=1.353, TAw acc= 56.3% |
| Epoch  54, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.336, TAw acc= 57.1% | *
| Epoch  55, time=  9.0s | Train: skip eval | Valid: time=  6.1s loss=1.346, TAw acc= 57.5% |
| Epoch  56, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.357, TAw acc= 57.7% |
| Epoch  57, time=  9.2s | Train: skip eval | Valid: time=  6.2s loss=1.353, TAw acc= 57.2% |
| Epoch  58, time=  9.0s | Train: skip eval | Valid: time=  6.1s loss=1.344, TAw acc= 57.7% |
| Epoch  59, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.352, TAw acc= 57.9% | lr=4.1e-04
| Epoch  60, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.343, TAw acc= 57.7% |
| Epoch  61, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.334, TAw acc= 58.1% | *
| Epoch  62, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.349, TAw acc= 57.2% |
| Epoch  63, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.357, TAw acc= 57.0% |
| Epoch  64, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.361, TAw acc= 57.2% |
| Epoch  65, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.345, TAw acc= 57.6% |
| Epoch  66, time=  9.0s | Train: skip eval | Valid: time=  6.1s loss=1.349, TAw acc= 57.1% | lr=1.4e-04
| Epoch  67, time=  8.9s | Train: skip eval | Valid: time=  6.2s loss=1.352, TAw acc= 57.3% |
| Epoch  68, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.347, TAw acc= 57.7% |
| Epoch  69, time=  9.1s | Train: skip eval | Valid: time=  6.1s loss=1.344, TAw acc= 58.2% |
| Epoch  70, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.345, TAw acc= 57.4% |
| Epoch  71, time=  9.0s | Train: skip eval | Valid: time=  6.2s loss=1.350, TAw acc= 57.3% | lr=4.6e-05
| Selected 2000 train exemplars, time=  0.2s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=1.355 | TAw acc= 56.0%, forg=  0.0%| TAg acc= 56.0%, forg=  0.0% <<<
Save at C:\Users\Erik\Desktop\hopp\cifar100_icarl
************************************************************************************************************
Task  1
************************************************************************************************************
