Files already downloaded and verified
Files already downloaded and verified
[(0, 13), (1, 13), (2, 13), (3, 13), (4, 12), (5, 12), (6, 12), (7, 12)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time=  9.8s | Train: skip eval | Valid: time=  6.1s loss=2.045, TAw acc= 30.2% | *
| Epoch   2, time=  8.1s | Train: skip eval | Valid: time=  6.3s loss=1.910, TAw acc= 34.3% | *
| Epoch   3, time=  8.0s | Train: skip eval | Valid: time=  6.4s loss=1.895, TAw acc= 36.3% | *
| Epoch   4, time=  8.5s | Train: skip eval | Valid: time=  6.4s loss=1.977, TAw acc= 35.8% |
| Epoch   5, time=  8.1s | Train: skip eval | Valid: time=  6.3s loss=1.656, TAw acc= 46.3% | *
| Epoch   6, time=  8.3s | Train: skip eval | Valid: time=  6.3s loss=4.359, TAw acc= 24.5% |
| Epoch   7, time=  8.4s | Train: skip eval | Valid: time=  6.2s loss=2.393, TAw acc= 37.5% |
| Epoch   8, time=  8.2s | Train: skip eval | Valid: time=  6.4s loss=1.776, TAw acc= 41.4% |
| Epoch   9, time=  8.2s | Train: skip eval | Valid: time=  6.1s loss=2.562, TAw acc= 41.1% |
| Epoch  10, time=  8.1s | Train: skip eval | Valid: time=  6.1s loss=2.440, TAw acc= 39.1% | lr=3.3e-02
| Epoch  11, time=  8.0s | Train: skip eval | Valid: time=  6.1s loss=1.430, TAw acc= 52.2% | *
| Epoch  12, time=  8.0s | Train: skip eval | Valid: time=  6.1s loss=1.384, TAw acc= 53.5% | *
| Epoch  13, time=  8.1s | Train: skip eval | Valid: time=  6.1s loss=1.506, TAw acc= 48.9% |
| Epoch  14, time=  8.1s | Train: skip eval | Valid: time=  6.2s loss=1.365, TAw acc= 54.6% | *
| Epoch  15, time=  8.0s | Train: skip eval | Valid: time=  6.1s loss=1.418, TAw acc= 50.8% |
| Epoch  16, time=  8.1s | Train: skip eval | Valid: time=  6.1s loss=1.339, TAw acc= 56.0% | *
| Epoch  17, time=  8.0s | Train: skip eval | Valid: time=  6.1s loss=1.380, TAw acc= 52.8% |
| Epoch  18, time=  8.1s | Train: skip eval | Valid: time=  6.1s loss=1.494, TAw acc= 49.7% |
| Epoch  19, time=  8.1s | Train: skip eval | Valid: time=  6.1s loss=1.514, TAw acc= 50.0% |
| Epoch  20, time=  8.0s | Train: skip eval | Valid: time=  6.1s loss=1.316, TAw acc= 53.8% | *
| Epoch  21, time=  8.1s | Train: skip eval | Valid: time=  6.1s loss=1.449, TAw acc= 53.2% |
| Epoch  22, time=  8.1s | Train: skip eval | Valid: time=  6.1s loss=1.430, TAw acc= 52.9% |
| Epoch  23, time=  8.1s | Train: skip eval | Valid: time=  6.1s loss=1.349, TAw acc= 55.1% |
| Epoch  24, time=  8.1s | Train: skip eval | Valid: time=  6.1s loss=1.329, TAw acc= 55.1% |
| Epoch  25, time=  7.9s | Train: skip eval | Valid: time=  6.1s loss=1.293, TAw acc= 56.9% | *
| Epoch  26, time=  8.0s | Train: skip eval | Valid: time=  6.1s loss=1.520, TAw acc= 52.9% |
| Epoch  27, time=  8.1s | Train: skip eval | Valid: time=  6.2s loss=1.345, TAw acc= 53.1% |
| Epoch  28, time=  8.0s | Train: skip eval | Valid: time=  6.1s loss=1.259, TAw acc= 57.7% | *
| Epoch  29, time=  8.1s | Train: skip eval | Valid: time=  6.1s loss=1.568, TAw acc= 48.8% |
| Epoch  30, time=  8.0s | Train: skip eval | Valid: time=  6.1s loss=1.307, TAw acc= 56.5% |
| Epoch  31, time=  8.0s | Train: skip eval | Valid: time=  6.1s loss=1.269, TAw acc= 57.5% |
| Epoch  32, time=  8.1s | Train: skip eval | Valid: time=  6.1s loss=1.336, TAw acc= 56.2% |
| Epoch  33, time=  8.1s | Train: skip eval | Valid: time=  6.1s loss=1.318, TAw acc= 57.1% | lr=1.1e-02
| Epoch  34, time=  8.0s | Train: skip eval | Valid: time=  6.1s loss=1.228, TAw acc= 58.3% | *
| Epoch  35, time=  8.0s | Train: skip eval | Valid: time=  6.1s loss=1.232, TAw acc= 59.5% |
| Epoch  36, time=  8.1s | Train: skip eval | Valid: time=  6.1s loss=1.198, TAw acc= 60.3% | *
| Epoch  37, time=  8.1s | Train: skip eval | Valid: time=  6.2s loss=1.224, TAw acc= 58.8% |
| Epoch  38, time=  8.1s | Train: skip eval | Valid: time=  6.1s loss=1.197, TAw acc= 59.5% | *
| Epoch  39, time=  8.0s | Train: skip eval | Valid: time=  6.1s loss=1.204, TAw acc= 60.8% |
| Epoch  40, time=  8.0s | Train: skip eval | Valid: time=  6.1s loss=1.206, TAw acc= 60.9% |
| Epoch  41, time=  8.0s | Train: skip eval | Valid: time=  6.1s loss=1.164, TAw acc= 60.9% | *
| Epoch  42, time=  8.0s | Train: skip eval | Valid: time=  6.1s loss=1.138, TAw acc= 61.4% | *
| Epoch  43, time=  7.9s | Train: skip eval | Valid: time=  6.1s loss=1.199, TAw acc= 59.5% |
| Epoch  44, time=  7.8s | Train: skip eval | Valid: time=  6.0s loss=1.183, TAw acc= 59.7% |
| Epoch  45, time=  8.0s | Train: skip eval | Valid: time=  6.1s loss=1.173, TAw acc= 60.5% |
| Epoch  46, time=  7.9s | Train: skip eval | Valid: time=  6.1s loss=1.195, TAw acc= 60.6% |
| Epoch  47, time=  7.9s | Train: skip eval | Valid: time=  6.1s loss=1.219, TAw acc= 59.1% | lr=3.7e-03
| Epoch  48, time=  7.9s | Train: skip eval | Valid: time=  6.1s loss=1.132, TAw acc= 62.3% | *
| Epoch  49, time=  7.9s | Train: skip eval | Valid: time=  6.1s loss=1.116, TAw acc= 62.2% | *
| Epoch  50, time=  7.9s | Train: skip eval | Valid: time=  6.1s loss=1.123, TAw acc= 63.4% |
| Epoch  51, time=  7.9s | Train: skip eval | Valid: time=  6.1s loss=1.135, TAw acc= 62.3% |
| Epoch  52, time=  7.9s | Train: skip eval | Valid: time=  6.1s loss=1.157, TAw acc= 62.0% |
| Epoch  53, time=  7.9s | Train: skip eval | Valid: time=  6.1s loss=1.152, TAw acc= 61.5% |
| Epoch  54, time=  7.9s | Train: skip eval | Valid: time=  6.1s loss=1.136, TAw acc= 63.1% | lr=1.2e-03
| Epoch  55, time=  7.9s | Train: skip eval | Valid: time=  6.1s loss=1.130, TAw acc= 62.3% |
| Epoch  56, time=  7.8s | Train: skip eval | Valid: time=  6.1s loss=1.136, TAw acc= 62.6% |
| Epoch  57, time=  7.9s | Train: skip eval | Valid: time=  6.0s loss=1.133, TAw acc= 62.2% |
| Epoch  58, time=  8.0s | Train: skip eval | Valid: time=  6.0s loss=1.138, TAw acc= 62.3% |
| Epoch  59, time=  8.0s | Train: skip eval | Valid: time=  6.1s loss=1.126, TAw acc= 62.5% | lr=4.1e-04
| Epoch  60, time=  7.9s | Train: skip eval | Valid: time=  6.0s loss=1.132, TAw acc= 63.7% |
| Epoch  61, time=  8.0s | Train: skip eval | Valid: time=  6.0s loss=1.142, TAw acc= 63.1% |
