Files already downloaded and verified
Files already downloaded and verified
[(0, 3), (1, 3), (2, 2), (3, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time= 12.2s | Train: skip eval | Valid: time=  6.1s loss=0.916, TAw acc= 56.7% | *
| Epoch   2, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=0.689, TAw acc= 67.5% | *
| Epoch   3, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.669, TAw acc= 69.3% | *
| Epoch   4, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.629, TAw acc= 70.6% | *
| Epoch   5, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=0.641, TAw acc= 69.1% |
| Epoch   6, time= 10.4s | Train: skip eval | Valid: time=  6.4s loss=0.595, TAw acc= 72.9% | *
| Epoch   7, time= 13.1s | Train: skip eval | Valid: time=  6.2s loss=0.558, TAw acc= 74.0% | *
| Epoch   8, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=0.547, TAw acc= 76.3% | *
| Epoch   9, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.554, TAw acc= 75.3% |
| Epoch  10, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.574, TAw acc= 74.7% |
| Epoch  11, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.538, TAw acc= 76.1% | *
| Epoch  12, time= 10.4s | Train: skip eval | Valid: time=  6.1s loss=0.494, TAw acc= 80.0% | *
| Epoch  13, time= 10.5s | Train: skip eval | Valid: time=  6.1s loss=0.458, TAw acc= 81.5% | *
| Epoch  14, time= 10.3s | Train: skip eval | Valid: time=  6.2s loss=0.470, TAw acc= 79.0% |
| Epoch  15, time= 10.4s | Train: skip eval | Valid: time=  6.1s loss=0.487, TAw acc= 78.2% |
| Epoch  16, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=0.409, TAw acc= 81.6% | *
| Epoch  17, time= 10.3s | Train: skip eval | Valid: time=  6.1s loss=0.450, TAw acc= 80.6% |
| Epoch  18, time= 10.3s | Train: skip eval | Valid: time=  6.2s loss=0.425, TAw acc= 82.0% |
| Epoch  19, time= 10.4s | Train: skip eval | Valid: time=  6.1s loss=0.428, TAw acc= 81.3% |
| Epoch  20, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.410, TAw acc= 82.9% |
| Epoch  21, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.371, TAw acc= 85.6% | *
| Epoch  22, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.402, TAw acc= 82.9% |
| Epoch  23, time= 10.4s | Train: skip eval | Valid: time=  6.1s loss=0.468, TAw acc= 81.5% |
| Epoch  24, time= 10.5s | Train: skip eval | Valid: time=  6.2s loss=0.412, TAw acc= 83.5% |
| Epoch  25, time= 10.4s | Train: skip eval | Valid: time=  6.1s loss=0.374, TAw acc= 84.9% |
| Epoch  26, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.361, TAw acc= 84.5% | *
| Epoch  27, time= 10.4s | Train: skip eval | Valid: time=  6.0s loss=0.338, TAw acc= 86.7% | *
| Epoch  28, time= 10.3s | Train: skip eval | Valid: time=  6.1s loss=0.338, TAw acc= 86.7% |
| Epoch  29, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=0.420, TAw acc= 85.2% |
| Epoch  30, time= 10.4s | Train: skip eval | Valid: time=  6.0s loss=0.351, TAw acc= 86.5% |
| Epoch  31, time= 10.4s | Train: skip eval | Valid: time=  6.0s loss=0.335, TAw acc= 87.3% | *
| Epoch  32, time= 10.3s | Train: skip eval | Valid: time=  6.2s loss=0.328, TAw acc= 87.1% | *
