Files already downloaded and verified
Files already downloaded and verified
[(0, 17), (1, 17), (2, 17), (3, 17), (4, 16), (5, 16)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   1, time= 10.6s | Train: skip eval | Valid: time=  6.0s loss=2.697, TAw acc= 22.5% | *
| Epoch   2, time=  8.6s | Train: skip eval | Valid: time=  6.1s loss=2.448, TAw acc= 28.7% | *
| Epoch   3, time=  8.5s | Train: skip eval | Valid: time=  6.1s loss=1.971, TAw acc= 36.2% | *
| Epoch   4, time=  8.5s | Train: skip eval | Valid: time=  6.1s loss=1.838, TAw acc= 39.5% | *
| Epoch   5, time=  8.6s | Train: skip eval | Valid: time=  6.1s loss=2.120, TAw acc= 33.3% |
| Epoch   6, time=  8.5s | Train: skip eval | Valid: time=  6.2s loss=1.774, TAw acc= 43.6% | *
| Epoch   7, time=  8.6s | Train: skip eval | Valid: time=  6.2s loss=1.724, TAw acc= 42.8% | *
| Epoch   8, time=  8.6s | Train: skip eval | Valid: time=  6.2s loss=1.828, TAw acc= 41.4% |
| Epoch   9, time=  8.6s | Train: skip eval | Valid: time=  6.1s loss=1.778, TAw acc= 43.2% |
| Epoch  10, time=  8.6s | Train: skip eval | Valid: time=  6.2s loss=1.893, TAw acc= 41.1% |
| Epoch  11, time=  8.6s | Train: skip eval | Valid: time=  6.2s loss=2.049, TAw acc= 45.2% |
| Epoch  12, time=  8.6s | Train: skip eval | Valid: time=  6.2s loss=1.767, TAw acc= 45.5% | lr=3.3e-02
| Epoch  13, time=  8.6s | Train: skip eval | Valid: time=  6.2s loss=1.616, TAw acc= 48.1% | *
| Epoch  14, time=  8.6s | Train: skip eval | Valid: time=  6.2s loss=1.568, TAw acc= 49.6% | *
| Epoch  15, time=  8.6s | Train: skip eval | Valid: time=  6.2s loss=1.517, TAw acc= 50.4% | *
| Epoch  16, time=  8.6s | Train: skip eval | Valid: time=  6.2s loss=1.566, TAw acc= 50.0% |
| Epoch  17, time=  8.6s | Train: skip eval | Valid: time=  6.3s loss=1.526, TAw acc= 49.5% |
| Epoch  18, time=  9.1s | Train: skip eval | Valid: time=  6.5s loss=1.543, TAw acc= 51.4% |
| Epoch  19, time=  9.0s | Train: skip eval | Valid: time=  6.6s loss=1.532, TAw acc= 50.8% |
| Epoch  20, time=  9.0s | Train: skip eval | Valid: time=  6.5s loss=1.493, TAw acc= 51.3% | *
| Epoch  21, time=  9.1s | Train: skip eval | Valid: time=  6.5s loss=1.472, TAw acc= 52.0% | *
| Epoch  22, time=  9.0s | Train: skip eval | Valid: time=  6.4s loss=1.472, TAw acc= 52.7% |
| Epoch  23, time=  8.6s | Train: skip eval | Valid: time=  6.2s loss=1.530, TAw acc= 50.8% |
| Epoch  24, time=  8.6s | Train: skip eval | Valid: time=  6.2s loss=1.493, TAw acc= 50.2% |
| Epoch  25, time=  8.6s | Train: skip eval | Valid: time=  6.2s loss=1.405, TAw acc= 54.1% | *
| Epoch  26, time=  8.6s | Train: skip eval | Valid: time=  6.2s loss=1.417, TAw acc= 54.9% |
| Epoch  27, time=  8.6s | Train: skip eval | Valid: time=  6.2s loss=1.523, TAw acc= 50.9% |
| Epoch  28, time=  8.6s | Train: skip eval | Valid: time=  6.2s loss=1.533, TAw acc= 48.2% |
| Epoch  29, time=  8.6s | Train: skip eval | Valid: time=  6.2s loss=1.469, TAw acc= 52.5% |
| Epoch  30, time=  8.7s | Train: skip eval | Valid: time=  6.1s loss=1.460, TAw acc= 53.2% | lr=1.1e-02
| Epoch  31, time=  8.6s | Train: skip eval | Valid: time=  6.1s loss=1.384, TAw acc= 56.1% | *
| Epoch  32, time=  8.6s | Train: skip eval | Valid: time=  6.2s loss=1.376, TAw acc= 56.7% | *
