Training iCaRL with the following settings:
 - Dataset: FashionMNIST
 - Selection criterion: Density
 - Number of exemplars per target: 20
 - Number of epochs: 70
 - Starting learning rate: 2
 - Learning rate division: 5
 - Milestones for learning rate adjustment: [49, 63]
 - Size of the batches: 128
 - Weight decay: 1e-05
 - Momentum: 0.9
 - Number of tasks: 5
 - Targets order: [0, 8, 4, 1, 6, 9, 3, 5, 2, 7]
 - Random seed: 42


Task 1:
Current train data length: 12000
Current test data length: 2000
Epoch 1: training loss - 6.33709 | validation loss - 0.32484 | accuracy - 0.9655
Epoch 2: training loss - 1.39938 | validation loss - 0.27001 | accuracy - 0.9705
Epoch 3: training loss - 1.11469 | validation loss - 0.32373 | accuracy - 0.96
Epoch 4: training loss - 0.92671 | validation loss - 0.19288 | accuracy - 0.981
Epoch 5: training loss - 0.80459 | validation loss - 0.25457 | accuracy - 0.977
Epoch 6: training loss - 0.85457 | validation loss - 0.18779 | accuracy - 0.982
Epoch 7: training loss - 0.68466 | validation loss - 0.30803 | accuracy - 0.9645
Epoch 8: training loss - 0.6612 | validation loss - 0.10407 | accuracy - 0.986
Epoch 9: training loss - 0.68021 | validation loss - 0.20635 | accuracy - 0.98
Epoch 10: training loss - 0.55148 | validation loss - 0.13907 | accuracy - 0.988
Epoch 11: training loss - 0.48839 | validation loss - 0.1847 | accuracy - 0.9765
Epoch 12: training loss - 0.53673 | validation loss - 0.07977 | accuracy - 0.992
Epoch 13: training loss - 0.46603 | validation loss - 0.09422 | accuracy - 0.9895
Epoch 14: training loss - 0.43624 | validation loss - 0.09276 | accuracy - 0.9895
Epoch 15: training loss - 0.41217 | validation loss - 0.0976 | accuracy - 0.9915
Epoch 16: training loss - 0.4298 | validation loss - 0.13262 | accuracy - 0.984
Epoch 17: training loss - 0.40098 | validation loss - 0.15152 | accuracy - 0.9855
Epoch 18: training loss - 0.32216 | validation loss - 0.11356 | accuracy - 0.9915
Epoch 19: training loss - 0.38029 | validation loss - 0.14086 | accuracy - 0.985
Epoch 20: training loss - 0.29342 | validation loss - 0.09515 | accuracy - 0.99
Epoch 21: training loss - 0.34155 | validation loss - 0.09774 | accuracy - 0.993
Epoch 22: training loss - 0.26165 | validation loss - 0.09773 | accuracy - 0.992
Epoch 23: training loss - 0.24267 | validation loss - 0.11938 | accuracy - 0.99
Epoch 24: training loss - 0.19881 | validation loss - 0.15741 | accuracy - 0.9855
Epoch 25: training loss - 0.32164 | validation loss - 0.19896 | accuracy - 0.9835
Epoch 26: training loss - 0.20915 | validation loss - 0.1508 | accuracy - 0.989
Epoch 27: training loss - 0.21735 | validation loss - 0.09022 | accuracy - 0.993
Epoch 28: training loss - 0.17045 | validation loss - 0.08085 | accuracy - 0.9925
Epoch 29: training loss - 0.18279 | validation loss - 0.13046 | accuracy - 0.989
Epoch 30: training loss - 0.25513 | validation loss - 0.15358 | accuracy - 0.985
Epoch 31: training loss - 0.16358 | validation loss - 0.07614 | accuracy - 0.993
Epoch 32: training loss - 0.21727 | validation loss - 0.06888 | accuracy - 0.9935
Epoch 33: training loss - 0.15582 | validation loss - 0.09627 | accuracy - 0.991
Epoch 34: training loss - 0.13858 | validation loss - 0.11997 | accuracy - 0.9895
Epoch 35: training loss - 0.20563 | validation loss - 0.09061 | accuracy - 0.992
Epoch 36: training loss - 0.10342 | validation loss - 0.09787 | accuracy - 0.991
Epoch 37: training loss - 0.13609 | validation loss - 0.15448 | accuracy - 0.988
Epoch 38: training loss - 0.199 | validation loss - 0.07411 | accuracy - 0.9925
Epoch 39: training loss - 0.08618 | validation loss - 0.0907 | accuracy - 0.9925
Epoch 40: training loss - 0.11597 | validation loss - 0.15338 | accuracy - 0.9855
Epoch 41: training loss - 0.1587 | validation loss - 0.09653 | accuracy - 0.9935
Epoch 42: training loss - 0.05528 | validation loss - 0.11157 | accuracy - 0.9915
Epoch 43: training loss - 0.06117 | validation loss - 0.09535 | accuracy - 0.9935
Epoch 44: training loss - 0.09138 | validation loss - 0.13009 | accuracy - 0.9885
Epoch 45: training loss - 0.23983 | validation loss - 0.0761 | accuracy - 0.9935
Epoch 46: training loss - 0.0897 | validation loss - 0.09374 | accuracy - 0.991
Epoch 47: training loss - 0.08671 | validation loss - 0.06886 | accuracy - 0.9955
Epoch 48: training loss - 0.06418 | validation loss - 0.12034 | accuracy - 0.9915
Epoch 49: training loss - 0.0627 | validation loss - 0.09969 | accuracy - 0.9925
Epoch 50: training loss - 0.03636 | validation loss - 0.09255 | accuracy - 0.9935
Epoch 51: training loss - 0.00845 | validation loss - 0.08241 | accuracy - 0.994
Epoch 52: training loss - 0.00773 | validation loss - 0.08723 | accuracy - 0.993
Epoch 53: training loss - 0.00613 | validation loss - 0.08812 | accuracy - 0.9935
Epoch 54: training loss - 0.00449 | validation loss - 0.0875 | accuracy - 0.9935
Epoch 55: training loss - 0.00414 | validation loss - 0.0861 | accuracy - 0.9935
Epoch 56: training loss - 0.00401 | validation loss - 0.08582 | accuracy - 0.994
Epoch 57: training loss - 0.00448 | validation loss - 0.08834 | accuracy - 0.993
Epoch 58: training loss - 0.00382 | validation loss - 0.08915 | accuracy - 0.994
Epoch 59: training loss - 0.00307 | validation loss - 0.08882 | accuracy - 0.994
Epoch 60: training loss - 0.00297 | validation loss - 0.08786 | accuracy - 0.994
Epoch 61: training loss - 0.00357 | validation loss - 0.08795 | accuracy - 0.994
Epoch 62: training loss - 0.00341 | validation loss - 0.08941 | accuracy - 0.9945
Epoch 63: training loss - 0.00296 | validation loss - 0.08814 | accuracy - 0.994
Epoch 64: training loss - 0.00277 | validation loss - 0.08938 | accuracy - 0.9935
Epoch 65: training loss - 0.00326 | validation loss - 0.0893 | accuracy - 0.994
Epoch 66: training loss - 0.00266 | validation loss - 0.08935 | accuracy - 0.9935
Epoch 67: training loss - 0.0024 | validation loss - 0.08923 | accuracy - 0.994
Epoch 68: training loss - 0.00328 | validation loss - 0.0879 | accuracy - 0.994
Epoch 69: training loss - 0.00224 | validation loss - 0.09335 | accuracy - 0.994
Epoch 70: training loss - 0.00244 | validation loss - 0.08909 | accuracy - 0.994
Mean-of-exemplars classifier's accuracy: 0.9945

Task 2:
Current train data length: 12040
Current test data length: 4000
Epoch 1: training loss - 8.85372 | validation loss - 18.56674 | accuracy - 0.423
Epoch 2: training loss - 5.50556 | validation loss - 18.29295 | accuracy - 0.4675
Epoch 3: training loss - 5.02113 | validation loss - 19.28407 | accuracy - 0.444
Epoch 4: training loss - 4.85165 | validation loss - 22.70591 | accuracy - 0.47125
Epoch 5: training loss - 4.68447 | validation loss - 21.70218 | accuracy - 0.47025
Epoch 6: training loss - 4.64513 | validation loss - 18.89638 | accuracy - 0.46875
Epoch 7: training loss - 4.46806 | validation loss - 21.15347 | accuracy - 0.485
Epoch 8: training loss - 4.22364 | validation loss - 19.10679 | accuracy - 0.48125
Epoch 9: training loss - 4.27193 | validation loss - 24.32004 | accuracy - 0.48475
Epoch 10: training loss - 4.08953 | validation loss - 23.31126 | accuracy - 0.48
Epoch 11: training loss - 4.09851 | validation loss - 21.1331 | accuracy - 0.487
Epoch 12: training loss - 4.0206 | validation loss - 25.25034 | accuracy - 0.48875
Epoch 13: training loss - 3.97975 | validation loss - 32.54937 | accuracy - 0.48325
Epoch 14: training loss - 4.03027 | validation loss - 27.97823 | accuracy - 0.487
Epoch 15: training loss - 4.00853 | validation loss - 20.97856 | accuracy - 0.48225
Epoch 16: training loss - 4.04855 | validation loss - 23.1512 | accuracy - 0.4805
Epoch 17: training loss - 3.98114 | validation loss - 21.21655 | accuracy - 0.48625
Epoch 18: training loss - 3.82737 | validation loss - 24.35224 | accuracy - 0.484
Epoch 19: training loss - 3.75485 | validation loss - 21.53053 | accuracy - 0.487
Epoch 20: training loss - 4.06558 | validation loss - 21.00389 | accuracy - 0.48825
Epoch 21: training loss - 3.77947 | validation loss - 26.28459 | accuracy - 0.48
Epoch 22: training loss - 3.77672 | validation loss - 23.07131 | accuracy - 0.49025
Epoch 23: training loss - 3.81484 | validation loss - 22.14041 | accuracy - 0.483
Epoch 24: training loss - 3.89021 | validation loss - 23.42118 | accuracy - 0.487
Epoch 25: training loss - 3.66966 | validation loss - 25.75993 | accuracy - 0.48725
Epoch 26: training loss - 3.71049 | validation loss - 22.76724 | accuracy - 0.48525
Epoch 27: training loss - 3.52267 | validation loss - 22.74576 | accuracy - 0.484
Epoch 28: training loss - 3.62878 | validation loss - 23.68475 | accuracy - 0.48625
Epoch 29: training loss - 3.6839 | validation loss - 23.72622 | accuracy - 0.4855
Epoch 30: training loss - 3.51667 | validation loss - 24.18619 | accuracy - 0.49
Epoch 31: training loss - 3.56683 | validation loss - 24.34293 | accuracy - 0.488
Epoch 32: training loss - 3.87868 | validation loss - 18.09482 | accuracy - 0.47725
Epoch 33: training loss - 3.63146 | validation loss - 24.30469 | accuracy - 0.4845
Epoch 34: training loss - 3.58293 | validation loss - 24.62043 | accuracy - 0.489
Epoch 35: training loss - 3.55589 | validation loss - 21.80622 | accuracy - 0.4885
Epoch 36: training loss - 3.53483 | validation loss - 21.2326 | accuracy - 0.4845
Epoch 37: training loss - 3.43961 | validation loss - 20.95082 | accuracy - 0.48525
Epoch 38: training loss - 3.38309 | validation loss - 24.32381 | accuracy - 0.4865
Epoch 39: training loss - 3.31877 | validation loss - 23.9988 | accuracy - 0.487
Epoch 40: training loss - 3.36487 | validation loss - 22.68774 | accuracy - 0.48975
Epoch 41: training loss - 3.30336 | validation loss - 24.31802 | accuracy - 0.4895
Epoch 42: training loss - 3.45089 | validation loss - 20.22255 | accuracy - 0.43
Epoch 43: training loss - 4.38773 | validation loss - 21.55729 | accuracy - 0.4765
Epoch 44: training loss - 3.81109 | validation loss - 23.08658 | accuracy - 0.4895
Epoch 45: training loss - 3.56162 | validation loss - 23.39836 | accuracy - 0.48875
Epoch 46: training loss - 3.51282 | validation loss - 23.77847 | accuracy - 0.4875
Epoch 47: training loss - 3.50586 | validation loss - 24.14187 | accuracy - 0.4885
Epoch 48: training loss - 3.35648 | validation loss - 20.47962 | accuracy - 0.47975
Epoch 49: training loss - 3.39879 | validation loss - 23.56713 | accuracy - 0.488
Epoch 50: training loss - 3.19101 | validation loss - 23.25047 | accuracy - 0.49
