Training iCaRL with the following settings:
 - Dataset: FashionMNIST
 - Selection criterion: K-Means
 - Number of exemplars per target: 20
 - Number of epochs: 70
 - Starting learning rate: 2
 - Learning rate division: 5
 - Milestones for learning rate adjustment: [49, 63]
 - Size of the batches: 128
 - Weight decay: 1e-05
 - Momentum: 0.9
 - Number of tasks: 5
 - Targets order: [0, 8, 4, 1, 6, 9, 3, 5, 2, 7]
 - Random seed: 42


Task 1:
Current train data length: 12000
Current test data length: 2000
Epoch 1: training loss - 6.33709 | validation loss - 0.32484 | accuracy - 0.9655
Epoch 2: training loss - 1.39938 | validation loss - 0.27001 | accuracy - 0.9705
Epoch 3: training loss - 1.11469 | validation loss - 0.32373 | accuracy - 0.96
Epoch 4: training loss - 0.92671 | validation loss - 0.19288 | accuracy - 0.981
Epoch 5: training loss - 0.80459 | validation loss - 0.25457 | accuracy - 0.977
Epoch 6: training loss - 0.85457 | validation loss - 0.18779 | accuracy - 0.982
Epoch 7: training loss - 0.68466 | validation loss - 0.30803 | accuracy - 0.9645
Epoch 8: training loss - 0.6612 | validation loss - 0.10407 | accuracy - 0.986
Epoch 9: training loss - 0.68021 | validation loss - 0.20635 | accuracy - 0.98
Epoch 10: training loss - 0.55148 | validation loss - 0.13907 | accuracy - 0.988
Epoch 11: training loss - 0.48839 | validation loss - 0.1847 | accuracy - 0.9765
Epoch 12: training loss - 0.53673 | validation loss - 0.07977 | accuracy - 0.992
Epoch 13: training loss - 0.46603 | validation loss - 0.09422 | accuracy - 0.9895
Epoch 14: training loss - 0.43624 | validation loss - 0.09276 | accuracy - 0.9895
Epoch 15: training loss - 0.41217 | validation loss - 0.0976 | accuracy - 0.9915
Epoch 16: training loss - 0.4298 | validation loss - 0.13262 | accuracy - 0.984
Epoch 17: training loss - 0.40098 | validation loss - 0.15152 | accuracy - 0.9855
Epoch 18: training loss - 0.32216 | validation loss - 0.11356 | accuracy - 0.9915
Epoch 19: training loss - 0.38029 | validation loss - 0.14086 | accuracy - 0.985
Epoch 20: training loss - 0.29342 | validation loss - 0.09515 | accuracy - 0.99
Epoch 21: training loss - 0.34155 | validation loss - 0.09774 | accuracy - 0.993
Epoch 22: training loss - 0.26165 | validation loss - 0.09773 | accuracy - 0.992
Epoch 23: training loss - 0.24267 | validation loss - 0.11938 | accuracy - 0.99
Epoch 24: training loss - 0.19881 | validation loss - 0.15741 | accuracy - 0.9855
Epoch 25: training loss - 0.32164 | validation loss - 0.19896 | accuracy - 0.9835
Epoch 26: training loss - 0.20915 | validation loss - 0.1508 | accuracy - 0.989
Epoch 27: training loss - 0.21735 | validation loss - 0.09022 | accuracy - 0.993
Epoch 28: training loss - 0.17045 | validation loss - 0.08085 | accuracy - 0.9925
Epoch 29: training loss - 0.18279 | validation loss - 0.13046 | accuracy - 0.989
Epoch 30: training loss - 0.25513 | validation loss - 0.15358 | accuracy - 0.985
Epoch 31: training loss - 0.16358 | validation loss - 0.07614 | accuracy - 0.993
Epoch 32: training loss - 0.21727 | validation loss - 0.06888 | accuracy - 0.9935
Epoch 33: training loss - 0.15582 | validation loss - 0.09627 | accuracy - 0.991
Epoch 34: training loss - 0.13858 | validation loss - 0.11997 | accuracy - 0.9895
Epoch 35: training loss - 0.20563 | validation loss - 0.09061 | accuracy - 0.992
Epoch 36: training loss - 0.10342 | validation loss - 0.09787 | accuracy - 0.991
Epoch 37: training loss - 0.13609 | validation loss - 0.15448 | accuracy - 0.988
Epoch 38: training loss - 0.199 | validation loss - 0.07411 | accuracy - 0.9925
Epoch 39: training loss - 0.08618 | validation loss - 0.0907 | accuracy - 0.9925
Epoch 40: training loss - 0.11597 | validation loss - 0.15338 | accuracy - 0.9855
Epoch 41: training loss - 0.1587 | validation loss - 0.09653 | accuracy - 0.9935
Epoch 42: training loss - 0.05528 | validation loss - 0.11157 | accuracy - 0.9915
Epoch 43: training loss - 0.06117 | validation loss - 0.09535 | accuracy - 0.9935
Epoch 44: training loss - 0.09138 | validation loss - 0.13009 | accuracy - 0.9885
Epoch 45: training loss - 0.23983 | validation loss - 0.0761 | accuracy - 0.9935
Epoch 46: training loss - 0.0897 | validation loss - 0.09374 | accuracy - 0.991
Epoch 47: training loss - 0.08671 | validation loss - 0.06886 | accuracy - 0.9955
Epoch 48: training loss - 0.06418 | validation loss - 0.12034 | accuracy - 0.9915
Epoch 49: training loss - 0.0627 | validation loss - 0.09969 | accuracy - 0.9925
Epoch 50: training loss - 0.03636 | validation loss - 0.09255 | accuracy - 0.9935
Epoch 51: training loss - 0.00845 | validation loss - 0.08241 | accuracy - 0.994
Epoch 52: training loss - 0.00773 | validation loss - 0.08723 | accuracy - 0.993
Epoch 53: training loss - 0.00613 | validation loss - 0.08812 | accuracy - 0.9935
Epoch 54: training loss - 0.00449 | validation loss - 0.0875 | accuracy - 0.9935
Epoch 55: training loss - 0.00414 | validation loss - 0.0861 | accuracy - 0.9935
Epoch 56: training loss - 0.00401 | validation loss - 0.08582 | accuracy - 0.994
Epoch 57: training loss - 0.00448 | validation loss - 0.08834 | accuracy - 0.993
Epoch 58: training loss - 0.00382 | validation loss - 0.08915 | accuracy - 0.994
Epoch 59: training loss - 0.00307 | validation loss - 0.08882 | accuracy - 0.994
Epoch 60: training loss - 0.00297 | validation loss - 0.08786 | accuracy - 0.994
Epoch 61: training loss - 0.00357 | validation loss - 0.08795 | accuracy - 0.994
Epoch 62: training loss - 0.00341 | validation loss - 0.08941 | accuracy - 0.9945
Epoch 63: training loss - 0.00296 | validation loss - 0.08814 | accuracy - 0.994
Epoch 64: training loss - 0.00277 | validation loss - 0.08938 | accuracy - 0.9935
Epoch 65: training loss - 0.00326 | validation loss - 0.0893 | accuracy - 0.994
Epoch 66: training loss - 0.00266 | validation loss - 0.08935 | accuracy - 0.9935
Epoch 67: training loss - 0.0024 | validation loss - 0.08923 | accuracy - 0.994
Epoch 68: training loss - 0.00328 | validation loss - 0.0879 | accuracy - 0.994
Epoch 69: training loss - 0.00224 | validation loss - 0.09335 | accuracy - 0.994
Epoch 70: training loss - 0.00244 | validation loss - 0.08909 | accuracy - 0.994
Mean-of-exemplars classifier's accuracy: 0.9945

Task 2:
Current train data length: 12040
Current test data length: 4000
Epoch 1: training loss - 8.85074 | validation loss - 18.56202 | accuracy - 0.44825
Epoch 2: training loss - 5.4484 | validation loss - 19.43159 | accuracy - 0.464
Epoch 3: training loss - 4.99074 | validation loss - 19.63022 | accuracy - 0.46975
Epoch 4: training loss - 4.86103 | validation loss - 22.43805 | accuracy - 0.47625
Epoch 5: training loss - 4.78243 | validation loss - 18.66986 | accuracy - 0.473
Epoch 6: training loss - 4.72116 | validation loss - 21.09392 | accuracy - 0.4635
Epoch 7: training loss - 4.47051 | validation loss - 23.35166 | accuracy - 0.45325
Epoch 8: training loss - 4.26718 | validation loss - 18.50215 | accuracy - 0.4585
Epoch 9: training loss - 4.3192 | validation loss - 28.30872 | accuracy - 0.47675
Epoch 10: training loss - 4.10054 | validation loss - 25.82635 | accuracy - 0.47825
Epoch 11: training loss - 4.12611 | validation loss - 25.5728 | accuracy - 0.48725
Epoch 12: training loss - 4.07177 | validation loss - 27.13165 | accuracy - 0.488
Epoch 13: training loss - 4.06767 | validation loss - 27.44145 | accuracy - 0.4795
Epoch 14: training loss - 4.11937 | validation loss - 23.44221 | accuracy - 0.48575
Epoch 15: training loss - 4.06518 | validation loss - 20.41576 | accuracy - 0.46325
Epoch 16: training loss - 3.96737 | validation loss - 21.13724 | accuracy - 0.48175
Epoch 17: training loss - 3.93949 | validation loss - 22.03181 | accuracy - 0.48825
Epoch 18: training loss - 3.8069 | validation loss - 23.11702 | accuracy - 0.49175
Epoch 19: training loss - 3.70487 | validation loss - 24.10704 | accuracy - 0.489
Epoch 20: training loss - 3.96406 | validation loss - 21.72406 | accuracy - 0.48925
Epoch 21: training loss - 3.81044 | validation loss - 25.26642 | accuracy - 0.48725
Epoch 22: training loss - 3.7818 | validation loss - 25.36857 | accuracy - 0.48825
Epoch 23: training loss - 3.82149 | validation loss - 22.32373 | accuracy - 0.48725
Epoch 24: training loss - 3.72916 | validation loss - 25.18285 | accuracy - 0.49025
Epoch 25: training loss - 3.69094 | validation loss - 26.52569 | accuracy - 0.484
Epoch 26: training loss - 3.80811 | validation loss - 22.30271 | accuracy - 0.48925
Epoch 27: training loss - 3.55331 | validation loss - 22.28745 | accuracy - 0.48
Epoch 28: training loss - 3.55836 | validation loss - 23.86501 | accuracy - 0.48725
Epoch 29: training loss - 3.69299 | validation loss - 21.74448 | accuracy - 0.484
Epoch 30: training loss - 3.61368 | validation loss - 22.29787 | accuracy - 0.4875
Epoch 31: training loss - 3.56221 | validation loss - 22.87533 | accuracy - 0.48775
Epoch 32: training loss - 4.00422 | validation loss - 20.01861 | accuracy - 0.4865
Epoch 33: training loss - 3.83663 | validation loss - 22.33607 | accuracy - 0.485
Epoch 34: training loss - 3.60367 | validation loss - 22.56703 | accuracy - 0.48875
Epoch 35: training loss - 3.56991 | validation loss - 22.9835 | accuracy - 0.49
Epoch 36: training loss - 3.54947 | validation loss - 21.24525 | accuracy - 0.47675
Epoch 37: training loss - 3.35508 | validation loss - 21.83045 | accuracy - 0.48625
Epoch 38: training loss - 3.32744 | validation loss - 23.15577 | accuracy - 0.4895
Epoch 39: training loss - 3.29187 | validation loss - 22.86781 | accuracy - 0.489
Epoch 40: training loss - 3.39195 | validation loss - 22.03791 | accuracy - 0.49075
Epoch 41: training loss - 3.3202 | validation loss - 23.48387 | accuracy - 0.4815
Epoch 42: training loss - 3.44271 | validation loss - 22.75226 | accuracy - 0.48675
Epoch 43: training loss - 3.25146 | validation loss - 24.77792 | accuracy - 0.4835
Epoch 44: training loss - 3.39262 | validation loss - 24.81878 | accuracy - 0.49
Epoch 45: training loss - 3.48695 | validation loss - 23.56832 | accuracy - 0.48625
Epoch 46: training loss - 3.29746 | validation loss - 22.93242 | accuracy - 0.4885
Epoch 47: training loss - 3.29874 | validation loss - 25.14055 | accuracy - 0.4905
Epoch 48: training loss - 3.26865 | validation loss - 23.74367 | accuracy - 0.48725
Epoch 49: training loss - 3.43553 | validation loss - 22.87174 | accuracy - 0.4835
