Training iCaRL with the following settings:
 - Dataset: FashionMNIST
 - Selection criterion: Median
 - Number of exemplars per target: 20
 - Number of epochs: 70
 - Starting learning rate: 2
 - Learning rate division: 5
 - Milestones for learning rate adjustment: [49, 63]
 - Size of the batches: 128
 - Weight decay: 1e-05
 - Momentum: 0.9
 - Number of tasks: 5
 - Targets order: [0, 8, 4, 1, 6, 9, 3, 5, 2, 7]
 - Random seed: 42


Task 1:
Current train data length: 12000
Current test data length: 2000
Epoch 1: training loss - 6.33709 | validation loss - 0.32484 | accuracy - 0.9655
Epoch 2: training loss - 1.39938 | validation loss - 0.27001 | accuracy - 0.9705
Epoch 3: training loss - 1.11469 | validation loss - 0.32373 | accuracy - 0.96
Epoch 4: training loss - 0.92671 | validation loss - 0.19288 | accuracy - 0.981
Epoch 5: training loss - 0.80459 | validation loss - 0.25457 | accuracy - 0.977
Epoch 6: training loss - 0.85457 | validation loss - 0.18779 | accuracy - 0.982
Epoch 7: training loss - 0.68466 | validation loss - 0.30803 | accuracy - 0.9645
Epoch 8: training loss - 0.6612 | validation loss - 0.10407 | accuracy - 0.986
Epoch 9: training loss - 0.68021 | validation loss - 0.20635 | accuracy - 0.98
Epoch 10: training loss - 0.55148 | validation loss - 0.13907 | accuracy - 0.988
Epoch 11: training loss - 0.48839 | validation loss - 0.1847 | accuracy - 0.9765
Epoch 12: training loss - 0.53673 | validation loss - 0.07977 | accuracy - 0.992
Epoch 13: training loss - 0.46603 | validation loss - 0.09422 | accuracy - 0.9895
Epoch 14: training loss - 0.43624 | validation loss - 0.09276 | accuracy - 0.9895
Epoch 15: training loss - 0.41217 | validation loss - 0.0976 | accuracy - 0.9915
Epoch 16: training loss - 0.4298 | validation loss - 0.13262 | accuracy - 0.984
Epoch 17: training loss - 0.40098 | validation loss - 0.15152 | accuracy - 0.9855
Epoch 18: training loss - 0.32216 | validation loss - 0.11356 | accuracy - 0.9915
Epoch 19: training loss - 0.38029 | validation loss - 0.14086 | accuracy - 0.985
Epoch 20: training loss - 0.29342 | validation loss - 0.09515 | accuracy - 0.99
Epoch 21: training loss - 0.34155 | validation loss - 0.09774 | accuracy - 0.993
Epoch 22: training loss - 0.26165 | validation loss - 0.09773 | accuracy - 0.992
Epoch 23: training loss - 0.24267 | validation loss - 0.11938 | accuracy - 0.99
Epoch 24: training loss - 0.19881 | validation loss - 0.15741 | accuracy - 0.9855
Epoch 25: training loss - 0.32164 | validation loss - 0.19896 | accuracy - 0.9835
Epoch 26: training loss - 0.20915 | validation loss - 0.1508 | accuracy - 0.989
Epoch 27: training loss - 0.21735 | validation loss - 0.09022 | accuracy - 0.993
Epoch 28: training loss - 0.17045 | validation loss - 0.08085 | accuracy - 0.9925
Epoch 29: training loss - 0.18279 | validation loss - 0.13046 | accuracy - 0.989
Epoch 30: training loss - 0.25513 | validation loss - 0.15358 | accuracy - 0.985
Epoch 31: training loss - 0.16358 | validation loss - 0.07614 | accuracy - 0.993
Epoch 32: training loss - 0.21727 | validation loss - 0.06888 | accuracy - 0.9935
Epoch 33: training loss - 0.15582 | validation loss - 0.09627 | accuracy - 0.991
Epoch 34: training loss - 0.13858 | validation loss - 0.11997 | accuracy - 0.9895
Epoch 35: training loss - 0.20563 | validation loss - 0.09061 | accuracy - 0.992
Epoch 36: training loss - 0.10342 | validation loss - 0.09787 | accuracy - 0.991
Epoch 37: training loss - 0.13609 | validation loss - 0.15448 | accuracy - 0.988
Epoch 38: training loss - 0.199 | validation loss - 0.07411 | accuracy - 0.9925
Epoch 39: training loss - 0.08618 | validation loss - 0.0907 | accuracy - 0.9925
Epoch 40: training loss - 0.11597 | validation loss - 0.15338 | accuracy - 0.9855
Epoch 41: training loss - 0.1587 | validation loss - 0.09653 | accuracy - 0.9935
Epoch 42: training loss - 0.05528 | validation loss - 0.11157 | accuracy - 0.9915
Epoch 43: training loss - 0.06117 | validation loss - 0.09535 | accuracy - 0.9935
Epoch 44: training loss - 0.09138 | validation loss - 0.13009 | accuracy - 0.9885
Epoch 45: training loss - 0.23983 | validation loss - 0.0761 | accuracy - 0.9935
Epoch 46: training loss - 0.0897 | validation loss - 0.09374 | accuracy - 0.991
Epoch 47: training loss - 0.08671 | validation loss - 0.06886 | accuracy - 0.9955
Epoch 48: training loss - 0.06418 | validation loss - 0.12034 | accuracy - 0.9915
Epoch 49: training loss - 0.0627 | validation loss - 0.09969 | accuracy - 0.9925
Epoch 50: training loss - 0.03636 | validation loss - 0.09255 | accuracy - 0.9935
Epoch 51: training loss - 0.00845 | validation loss - 0.08241 | accuracy - 0.994
Epoch 52: training loss - 0.00773 | validation loss - 0.08723 | accuracy - 0.993
Epoch 53: training loss - 0.00613 | validation loss - 0.08812 | accuracy - 0.9935
Epoch 54: training loss - 0.00449 | validation loss - 0.0875 | accuracy - 0.9935
Epoch 55: training loss - 0.00414 | validation loss - 0.0861 | accuracy - 0.9935
Epoch 56: training loss - 0.00401 | validation loss - 0.08582 | accuracy - 0.994
Epoch 57: training loss - 0.00448 | validation loss - 0.08834 | accuracy - 0.993
Epoch 58: training loss - 0.00382 | validation loss - 0.08915 | accuracy - 0.994
Epoch 59: training loss - 0.00307 | validation loss - 0.08882 | accuracy - 0.994
Epoch 60: training loss - 0.00297 | validation loss - 0.08786 | accuracy - 0.994
Epoch 61: training loss - 0.00357 | validation loss - 0.08795 | accuracy - 0.994
Epoch 62: training loss - 0.00341 | validation loss - 0.08941 | accuracy - 0.9945
Epoch 63: training loss - 0.00296 | validation loss - 0.08814 | accuracy - 0.994
Epoch 64: training loss - 0.00277 | validation loss - 0.08938 | accuracy - 0.9935
Epoch 65: training loss - 0.00326 | validation loss - 0.0893 | accuracy - 0.994
Epoch 66: training loss - 0.00266 | validation loss - 0.08935 | accuracy - 0.9935
Epoch 67: training loss - 0.0024 | validation loss - 0.08923 | accuracy - 0.994
Epoch 68: training loss - 0.00328 | validation loss - 0.0879 | accuracy - 0.994
Epoch 69: training loss - 0.00224 | validation loss - 0.09335 | accuracy - 0.994
Epoch 70: training loss - 0.00244 | validation loss - 0.08909 | accuracy - 0.994
Median-of-exemplars classifier's accuracy: 0.9945

Task 2:
Current train data length: 12040
Current test data length: 4000
Epoch 1: training loss - 8.85727 | validation loss - 18.36472 | accuracy - 0.453
Epoch 2: training loss - 5.47905 | validation loss - 16.5306 | accuracy - 0.42275
Epoch 3: training loss - 5.01074 | validation loss - 18.64663 | accuracy - 0.4525
Epoch 4: training loss - 4.89685 | validation loss - 25.4047 | accuracy - 0.47075
Epoch 5: training loss - 4.89517 | validation loss - 19.86339 | accuracy - 0.47175
Epoch 6: training loss - 4.7408 | validation loss - 20.41732 | accuracy - 0.462
Epoch 7: training loss - 4.45156 | validation loss - 22.85707 | accuracy - 0.47575
Epoch 8: training loss - 4.23456 | validation loss - 17.87595 | accuracy - 0.47375
Epoch 9: training loss - 4.27481 | validation loss - 25.7561 | accuracy - 0.4765
Epoch 10: training loss - 4.09334 | validation loss - 22.95857 | accuracy - 0.4845
Epoch 11: training loss - 4.11782 | validation loss - 28.39206 | accuracy - 0.481
Epoch 12: training loss - 4.01891 | validation loss - 42.73615 | accuracy - 0.4685
Epoch 13: training loss - 4.06705 | validation loss - 30.06613 | accuracy - 0.47875
Epoch 14: training loss - 4.02016 | validation loss - 25.16504 | accuracy - 0.48475
Epoch 15: training loss - 4.11636 | validation loss - 19.81154 | accuracy - 0.47275
Epoch 16: training loss - 4.17309 | validation loss - 21.6379 | accuracy - 0.43975
Epoch 17: training loss - 4.18604 | validation loss - 21.13526 | accuracy - 0.48425
Epoch 18: training loss - 3.84577 | validation loss - 23.14205 | accuracy - 0.48575
Epoch 19: training loss - 3.79208 | validation loss - 24.14845 | accuracy - 0.4885
Epoch 20: training loss - 3.91348 | validation loss - 20.24542 | accuracy - 0.487
Epoch 21: training loss - 3.77021 | validation loss - 23.56398 | accuracy - 0.4865
Epoch 22: training loss - 3.80094 | validation loss - 28.89675 | accuracy - 0.48375
Epoch 23: training loss - 3.92022 | validation loss - 23.80141 | accuracy - 0.48225
Epoch 24: training loss - 3.81386 | validation loss - 21.85124 | accuracy - 0.4845
Epoch 25: training loss - 3.75263 | validation loss - 23.68038 | accuracy - 0.486
Epoch 26: training loss - 3.73703 | validation loss - 22.04066 | accuracy - 0.48975
Epoch 27: training loss - 3.54703 | validation loss - 22.51403 | accuracy - 0.4845
Epoch 28: training loss - 3.62607 | validation loss - 24.31783 | accuracy - 0.48275
Epoch 29: training loss - 3.8062 | validation loss - 23.98395 | accuracy - 0.48575
Epoch 30: training loss - 3.52234 | validation loss - 24.14687 | accuracy - 0.48975
Epoch 31: training loss - 3.62093 | validation loss - 26.26453 | accuracy - 0.4835
Epoch 32: training loss - 3.96002 | validation loss - 18.20865 | accuracy - 0.46825
Epoch 33: training loss - 3.69951 | validation loss - 22.81109 | accuracy - 0.48325
Epoch 34: training loss - 3.54261 | validation loss - 23.69998 | accuracy - 0.487
Epoch 35: training loss - 3.59217 | validation loss - 21.68033 | accuracy - 0.48575
Epoch 36: training loss - 3.54435 | validation loss - 23.42137 | accuracy - 0.48125
Epoch 37: training loss - 3.45195 | validation loss - 22.05544 | accuracy - 0.48575
Epoch 38: training loss - 3.32601 | validation loss - 24.12462 | accuracy - 0.488
Epoch 39: training loss - 3.28595 | validation loss - 24.24107 | accuracy - 0.4875
Epoch 40: training loss - 3.38985 | validation loss - 21.12878 | accuracy - 0.4885
Epoch 41: training loss - 3.30026 | validation loss - 24.78334 | accuracy - 0.4885
Epoch 42: training loss - 3.43361 | validation loss - 22.68917 | accuracy - 0.485
Epoch 43: training loss - 3.36253 | validation loss - 24.86109 | accuracy - 0.4825
Epoch 44: training loss - 3.30273 | validation loss - 23.98998 | accuracy - 0.48625
Epoch 45: training loss - 3.37538 | validation loss - 25.02695 | accuracy - 0.48625
Epoch 46: training loss - 3.28231 | validation loss - 23.96276 | accuracy - 0.48725
Epoch 47: training loss - 3.27787 | validation loss - 24.92234 | accuracy - 0.4885
Epoch 48: training loss - 3.2787 | validation loss - 24.16233 | accuracy - 0.48725
Epoch 49: training loss - 3.32182 | validation loss - 21.83556 | accuracy - 0.481
