Training iCaRL with the following settings:
 - Dataset: MNIST
 - Selection criterion: Density
 - Number of exemplars per target: 20
 - Number of epochs: 70
 - Starting learning rate: 2
 - Learning rate division: 5
 - Milestones for learning rate adjustment: [49, 63]
 - Size of the batches: 128
 - Weight decay: 1e-05
 - Momentum: 0.9
 - Number of tasks: 5
 - Targets order: [0, 8, 4, 1, 6, 9, 3, 5, 2, 7]
 - Random seed: 42


Task 1:
Current train data length: 11774
Current test data length: 1954
Epoch 1: training loss - 4.07593 | validation loss - 0.14116 | accuracy - 0.98311
Epoch 2: training loss - 0.22771 | validation loss - 0.01871 | accuracy - 0.99795
Epoch 3: training loss - 0.14607 | validation loss - 0.02219 | accuracy - 0.99744
Epoch 4: training loss - 0.12495 | validation loss - 0.01817 | accuracy - 0.99846
Epoch 5: training loss - 0.08116 | validation loss - 0.01565 | accuracy - 0.99898
Epoch 6: training loss - 0.0572 | validation loss - 0.02096 | accuracy - 0.99744
Epoch 7: training loss - 0.07455 | validation loss - 0.02964 | accuracy - 0.99744
Epoch 8: training loss - 0.06359 | validation loss - 0.00938 | accuracy - 0.99898
Epoch 9: training loss - 0.03297 | validation loss - 0.02137 | accuracy - 0.99744
Epoch 10: training loss - 0.03005 | validation loss - 0.02593 | accuracy - 0.99591
Epoch 11: training loss - 0.04004 | validation loss - 0.01208 | accuracy - 0.99846
Epoch 12: training loss - 0.08424 | validation loss - 0.00914 | accuracy - 0.99846
Epoch 13: training loss - 0.05643 | validation loss - 0.00221 | accuracy - 1.0
Epoch 14: training loss - 0.01187 | validation loss - 0.00372 | accuracy - 0.99898
Epoch 15: training loss - 0.00408 | validation loss - 0.00366 | accuracy - 0.99949
Epoch 16: training loss - 0.00606 | validation loss - 0.00301 | accuracy - 0.99949
Epoch 17: training loss - 0.00343 | validation loss - 0.0014 | accuracy - 1.0
Epoch 18: training loss - 0.00123 | validation loss - 0.00157 | accuracy - 1.0
Epoch 19: training loss - 0.00204 | validation loss - 0.00122 | accuracy - 1.0
Epoch 20: training loss - 0.00134 | validation loss - 0.00177 | accuracy - 1.0
Epoch 21: training loss - 0.00133 | validation loss - 0.00326 | accuracy - 0.99949
Epoch 22: training loss - 0.00168 | validation loss - 0.0015 | accuracy - 1.0
Epoch 23: training loss - 0.00339 | validation loss - 0.0014 | accuracy - 1.0
Epoch 24: training loss - 0.00392 | validation loss - 0.00599 | accuracy - 0.99949
Epoch 25: training loss - 0.00193 | validation loss - 0.00839 | accuracy - 0.99898
Epoch 26: training loss - 0.00185 | validation loss - 0.00152 | accuracy - 1.0
Epoch 27: training loss - 0.00101 | validation loss - 0.00189 | accuracy - 1.0
Epoch 28: training loss - 0.00124 | validation loss - 0.00234 | accuracy - 1.0
Epoch 29: training loss - 0.00124 | validation loss - 0.00187 | accuracy - 1.0
Epoch 30: training loss - 0.00302 | validation loss - 0.00556 | accuracy - 0.99898
Epoch 31: training loss - 0.00145 | validation loss - 0.00279 | accuracy - 0.99949
Epoch 32: training loss - 0.00112 | validation loss - 0.00152 | accuracy - 1.0
Epoch 33: training loss - 0.00143 | validation loss - 0.00305 | accuracy - 0.99949
